timestamp,model,prompt_set,concept_term,A1_fsn,A2_semantic_tag,A3_definition_status,A4_parents,A5_grandparents,A6_children,A7_siblings
2026-03-05T16:01:28.569621,mistralai/mistral-large-2512,set1,Abscess,Abscess (disorder),disorder,Primitive,Bacterial infectious disease (disorder)|Inflammatory disorder (disorder)|Collection of pus (disorder),Infectious disease (disorder)|Disorder by body site (disorder)|Disorder of immune function (disorder)|Disorder of cellular component of blood (disorder)|Inflammation of specific body organs (disorder)|Disorder of soft tissue (disorder),Abscess of adrenal gland (disorder)|Abscess of anus (disorder)|Abscess of appendix (disorder)|Abscess of Bartholin gland (disorder)|Abscess of breast (disorder)|Abscess of buttock (disorder)|Abscess of cheek (disorder)|Abscess of chest wall (disorder)|Abscess of clitoris (disorder)|Abscess of ear (disorder)|Abscess of elbow (disorder)|Abscess of epididymis (disorder)|Abscess of eyelid (disorder)|Abscess of fallopian tube (disorder)|Abscess of finger (disorder)|Abscess of foot (disorder)|Abscess of forearm (disorder)|Abscess of hand (disorder)|Abscess of head (disorder)|Abscess of hip (disorder)|Abscess of kidney (disorder)|Abscess of knee (disorder)|Abscess of leg (disorder)|Abscess of liver (disorder)|Abscess of lung (disorder)|Abscess of mediastinum (disorder)|Abscess of mouth (disorder)|Abscess of neck (disorder)|Abscess of nose (disorder)|Abscess of ovary (disorder)|Abscess of pancreas (disorder)|Abscess of parathyroid gland (disorder)|Abscess of parotid gland (disorder)|Abscess of pelvis (disorder)|Abscess of penis (disorder)|Abscess of perineum (disorder)|Abscess of prostate (disorder)|Abscess of salivary gland (disorder)|Abscess of scrotum (disorder)|Abscess of shoulder (disorder)|Abscess of skin (disorder)|Abscess of spermatic cord (disorder)|Abscess of spleen (disorder)|Abscess of stomach (disorder)|Abscess of testis (disorder)|Abscess of thigh (disorder)|Abscess of thyroid gland (disorder)|Abscess of toe (disorder)|Abscess of tongue (disorder)|Abscess of upper arm (disorder)|Abscess of ureter (disorder)|Abscess of urethra (disorder)|Abscess of uterus (disorder)|Abscess of vagina (disorder)|Abscess of vulva (disorder)|Abscess of wrist (disorder)|Brain abscess (disorder)|Dental abscess (disorder)|Psoas muscle abscess (disorder)|Retropharyngeal abscess (disorder)|Spinal epidural abscess (disorder)|Subphrenic abscess (disorder),Cellulitis (disorder)|Erysipelas (disorder)|Furuncle (disorder)|Carbuncle (disorder)|Phlegmon (disorder)|Pyoderma (disorder)|Empyema (disorder)|Lymphadenitis (disorder)|Lymphangitis (disorder)
2026-03-05T16:01:32.340591,mistralai/mistral-large-2512,set1,Edema,Edema (disorder),disorder,Primitive,Swelling (disorder),"Edema, swelling and lump (disorder)",Peripheral edema (disorder)|Pulmonary edema (disorder)|Cerebral edema (disorder)|Macular edema (disorder)|Angioedema (disorder)|Lymphedema (disorder)|Edema of skin (disorder)|Edema of larynx (disorder)|Edema of pharynx (disorder)|Edema of uvula (disorder)|Edema of scrotum (disorder)|Edema of orbit (disorder)|Edema of optic disc (disorder)|Edema of upper respiratory tract (disorder),Effusion (disorder)
2026-03-05T16:01:36.358348,mistralai/mistral-large-2512,set1,Intubation,Intubation (procedure),procedure,Primitive,Insertion of airway tube (procedure),Insertion procedure (procedure),Endotracheal intubation (procedure)|Nasotracheal intubation (procedure)|Orotracheal intubation (procedure)|Intubation of trachea (procedure)|Intubation of esophagus (procedure)|Intubation of stomach (procedure)|Intubation of larynx (procedure)|Intubation of bronchus (procedure)|Intubation of pharynx (procedure)|Intubation of nose (procedure),Insertion of gastric tube (procedure)|Insertion of urinary catheter (procedure)|Insertion of vascular catheter (procedure)|Insertion of drainage tube (procedure)|Insertion of endotracheal tube via stoma (procedure)|Insertion of airway device (procedure)
2026-03-05T16:01:42.238464,mistralai/mistral-large-2512,set1,Biopsy,Biopsy (procedure),procedure,Primitive,Procedure by method (procedure),"Procedure by site, approach, or method (procedure)",Biopsy of bone (procedure)|Biopsy of breast (procedure)|Biopsy of gastrointestinal tract (procedure)|Biopsy of kidney (procedure)|Biopsy of liver (procedure)|Biopsy of lung (procedure)|Biopsy of lymph node (procedure)|Biopsy of muscle (procedure)|Biopsy of nose (procedure)|Biopsy of prostate (procedure)|Biopsy of skin (procedure)|Biopsy of soft tissue (procedure)|Biopsy of thyroid gland (procedure)|Biopsy of uterus (procedure)|Bone marrow biopsy (procedure)|Core needle biopsy (procedure)|Endoscopic biopsy (procedure)|Excisional biopsy (procedure)|Fine needle aspiration biopsy (procedure)|Incisional biopsy (procedure)|Punch biopsy (procedure)|Shave biopsy (procedure)|Stereotactic biopsy (procedure)|Surgical biopsy (procedure)|Ultrasound-guided biopsy (procedure),Autopsy (procedure)|Debridement (procedure)|Diagnostic aspiration (procedure)|Diagnostic imaging (procedure)|Endoscopic procedure (procedure)|Excision (procedure)|Injection (procedure)|Puncture procedure (procedure)|Surgical procedure (procedure)
2026-03-05T16:01:44.635630,mistralai/mistral-large-2512,set1,Venipuncture,Venipuncture (procedure),procedure,Primitive,Phlebotomy (procedure),Blood withdrawal (procedure),Venipuncture of femoral vein (procedure)|Venipuncture of jugular vein (procedure)|Venipuncture of peripheral vein (procedure),Arterial puncture (procedure)|Capillary blood sampling (procedure)|Intraosseous access (procedure)
2026-03-05T16:01:53.531522,mistralai/mistral-large-2512,set1,Laparotomy,Laparotomy (procedure),procedure,Primitive,Open surgical procedure on trunk (procedure),Surgical procedure (procedure),Exploratory laparotomy (procedure)|Laparotomy for trauma (procedure)|Laparotomy with lysis of adhesions (procedure)|Laparotomy with division of abdominal adhesions (procedure)|Laparotomy with drainage of peritoneal cavity (procedure)|Laparotomy with excision of lesion of abdominal wall (procedure)|Laparotomy with repair of abdominal wall (procedure)|Laparotomy with repair of diaphragmatic hernia (procedure)|Laparotomy with repair of hiatus hernia (procedure)|Laparotomy with repair of incisional hernia (procedure)|Laparotomy with repair of umbilical hernia (procedure)|Laparotomy with resection of lesion of abdominal wall (procedure)|Laparotomy with revision of abdominal stoma (procedure)|Laparotomy with revision of colostomy (procedure)|Laparotomy with revision of ileostomy (procedure)|Laparotomy with revision of urostomy (procedure)|Laparotomy with revision of gastrostomy (procedure)|Laparotomy with revision of jejunostomy (procedure)|Laparotomy with revision of other abdominal stoma (procedure)|Laparotomy with biopsy of lesion of abdominal wall (procedure)|Laparotomy with biopsy of abdominal lymph node (procedure)|Laparotomy with biopsy of peritoneum (procedure)|Laparotomy with biopsy of omentum (procedure)|Laparotomy with biopsy of mesentery (procedure)|Laparotomy with biopsy of retroperitoneal structure (procedure)|Laparotomy with biopsy of abdominal mass (procedure)|Laparotomy with biopsy of abdominal organ (procedure)|Laparotomy with inspection of abdominal contents (procedure)|Laparotomy with mobilization of abdominal organ (procedure)|Laparotomy with adhesiolysis (procedure),Open surgical procedure on head (procedure)|Open surgical procedure on neck (procedure)|Open surgical procedure on upper limb (procedure)|Open surgical procedure on lower limb (procedure)|Open surgical procedure on breast (procedure)|Open surgical procedure on thorax (procedure)|Open surgical procedure on pelvis (procedure)|Open surgical procedure on perineum (procedure)|Open surgical procedure on back (procedure)|Open surgical procedure on skin and subcutaneous tissue (procedure)
2026-03-05T16:01:56.117081,mistralai/mistral-large-2512,set1,Opening of chest,Opening of chest (procedure),procedure,Primitive,Opening of thoracic cavity (procedure),Opening of body cavity (procedure),Opening of mediastinum (procedure)|Opening of pericardium (procedure)|Opening of pleural cavity (procedure),Opening of abdominal cavity (procedure)|Opening of pelvic cavity (procedure)|Opening of cranial cavity (procedure)|Opening of spinal canal (procedure)
2026-03-05T16:01:58.892683,mistralai/mistral-large-2512,set1,Cholecystectomy,Cholecystectomy (procedure),procedure,Primitive,Excision of organ (procedure),Surgical removal (procedure),Laparoscopic cholecystectomy (procedure)|Open cholecystectomy (procedure)|Partial cholecystectomy (procedure)|Subtotal cholecystectomy (procedure),Appendectomy (procedure)|Colectomy (procedure)|Gastrectomy (procedure)|Hepatectomy (procedure)|Nephrectomy (procedure)|Pancreatectomy (procedure)|Splenectomy (procedure)|Thyroidectomy (procedure)
2026-03-05T16:02:02.706125,mistralai/mistral-large-2512,set1,Cardiopulmonary resuscitation,Cardiopulmonary resuscitation (procedure),procedure,Primitive,Resuscitative procedure (procedure),Procedure by intent (procedure),Advanced cardiac life support (procedure)|Basic life support (procedure)|Cardiopulmonary resuscitation education (procedure)|Cardiopulmonary resuscitation with extracorporeal membrane oxygenation (procedure)|Open-chest cardiopulmonary resuscitation (procedure),Airway management procedure (procedure)|Cardiac pacing procedure (procedure)|Cardioversion (procedure)|Defibrillation (procedure)|Emergency surgical procedure (procedure)|Hemodynamic monitoring procedure (procedure)|Mechanical circulatory support procedure (procedure)|Resuscitative drug therapy (procedure)
2026-03-05T16:02:05.008959,mistralai/mistral-large-2512,set1,Triage,Triage (procedure),procedure,Primitive,Emergency medical procedure (procedure),Medical procedure (procedure),Advanced triage (procedure)|Mass casualty triage (procedure)|Telephone triage (procedure),Emergency patient assessment (procedure)|Emergency stabilization procedure (procedure)|Emergency transport procedure (procedure)
2026-03-05T16:02:08.287479,mistralai/mistral-large-2512,set1,Proximal,Proximal (qualifier value),qualifier value,Primitive,Relative to (qualifier value),Spatial concept (qualifier value),Proximal to (qualifier value),Distal (qualifier value)|Central (qualifier value)|Peripheral (qualifier value)|Superficial (qualifier value)|Deep (qualifier value)|Superior (qualifier value)|Inferior (qualifier value)|Anterior (qualifier value)|Posterior (qualifier value)|Medial (qualifier value)|Lateral (qualifier value)
2026-03-05T16:02:11.885067,mistralai/mistral-large-2512,set1,Distal,Distal (qualifier value),qualifier value,Primitive,Direction (qualifier value),Spatial concept (qualifier value),Distal to (qualifier value)|Distal to structure (qualifier value),Anterior (qualifier value)|Posterior (qualifier value)|Inferior (qualifier value)|Superior (qualifier value)|Lateral (qualifier value)|Medial (qualifier value)|Proximal (qualifier value)|External (qualifier value)|Internal (qualifier value)|Superficial (qualifier value)|Deep (qualifier value)|Right (qualifier value)|Left (qualifier value)|Central (qualifier value)|Peripheral (qualifier value)
2026-03-05T16:02:14.831155,mistralai/mistral-large-2512,set1,Chronic,Chronic (qualifier value),qualifier value,Primitive,Duration (qualifier value),Temporal qualifier value (qualifier value),Chronic active|Chronic and recurrent|Chronic continuous|Chronic episodic|Chronic inactive|Chronic persistent|Chronic progressive|Chronic recurrent|Chronic stable|Chronic worsening,Acute|Acute and chronic|Acute on chronic|Intermittent|Persistent|Recurrent|Subacute
2026-03-05T16:02:19.137998,mistralai/mistral-large-2512,set1,Determination of prognosis,Determination of prognosis (procedure),procedure,Primitive,Evaluation procedure (procedure),Procedure by method (procedure),Determination of cancer prognosis (procedure)|Determination of cardiovascular disease prognosis (procedure)|Determination of prognosis for amyotrophic lateral sclerosis (procedure)|Determination of prognosis for chronic kidney disease (procedure)|Determination of prognosis for dementia (procedure)|Determination of prognosis for diabetes mellitus (procedure)|Determination of prognosis for HIV infection (procedure)|Determination of prognosis for multiple sclerosis (procedure)|Determination of prognosis for Parkinson's disease (procedure)|Determination of prognosis for rheumatoid arthritis (procedure),Assessment of risk (procedure)|Determination of diagnosis (procedure)|Determination of treatment (procedure)|Evaluation of mental state (procedure)|Evaluation of physical state (procedure)|Measurement procedure (procedure)|Monitoring procedure (procedure)|Screening procedure (procedure)
2026-03-05T16:02:22.381129,mistralai/mistral-large-2512,set1,Anaphylaxis,Anaphylaxis (disorder),disorder,Primitive,Systemic hypersensitivity reaction (disorder),Hypersensitivity condition (disorder),Anaphylactic reaction to venom (disorder)|Anaphylactic reaction to food (disorder)|Anaphylactic reaction to drug (disorder)|Exercise-induced anaphylaxis (disorder)|Idiopathic anaphylaxis (disorder),Angioedema (disorder)|Urticaria (disorder)|Allergic rhinitis (disorder)|Asthma (disorder)|Hypersensitivity pneumonitis (disorder)
2026-03-05T16:02:24.543794,mistralai/mistral-large-2512,set1,Structure of ischiogluteal bursa of right hip,Structure of ischiogluteal bursa of right hip (body structure),body structure,Primitive,Structure of ischiogluteal bursa (body structure),Structure of bursa of hip region (body structure),,Structure of ischiogluteal bursa of left hip (body structure)
2026-03-05T16:02:31.904259,mistralai/mistral-large-2512,set1,Does not cut own nails,Does not cut own nails (finding),finding,Primitive,Difficulty with self care (finding),Self-care finding (finding),Difficulty bathing self (finding)|Difficulty dressing self (finding)|Difficulty feeding self (finding)|Difficulty toileting self (finding)|Difficulty washing self (finding)|Difficulty with instrumental activities of daily living (finding),
2026-03-05T16:02:34.293846,mistralai/mistral-large-2512,set1,Laceration of right brachial artery,Laceration of right brachial artery (disorder),disorder,Primitive,Laceration of artery of right upper limb (disorder),Laceration of artery of upper limb (disorder),,Laceration of left brachial artery (disorder)|Laceration of right axillary artery (disorder)|Laceration of right radial artery (disorder)|Laceration of right ulnar artery (disorder)
2026-03-05T16:02:36.693423,mistralai/mistral-large-2512,set1,Date sample received in laboratory,Date sample received in laboratory (observable entity),observable entity,Primitive,Date (observable entity),Temporal observable (observable entity),Date of birth (observable entity)|Date of death (observable entity)|Date of onset of clinical finding (observable entity)|Date of procedure (observable entity)|Date of specimen collection (observable entity),
2026-03-05T16:02:39.825458,mistralai/mistral-large-2512,set1,Autosomal recessive severe congenital neutropenia due to jagunal homolog 1 deficiency,Autosomal recessive severe congenital neutropenia due to jagunal homolog 1 deficiency (disorder),disorder,Primitive,Autosomal recessive severe congenital neutropenia,Severe congenital neutropenia,Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency|Autosomal recessive severe congenital neutropenia due to HAX1 deficiency|Autosomal recessive severe congenital neutropenia due to JAGN1 mutation|Autosomal recessive severe congenital neutropenia due to VPS45 deficiency,
2026-03-05T16:02:43.459040,mistralai/mistral-large-2512,set1,Product containing only ezetimibe and rosuvastatin,Product containing only ezetimibe and rosuvastatin (product),product,Fully defined,Product containing exactly two active ingredients (product),Product containing multiple active ingredients (product),,Product containing only atorvastatin and ezetimibe (product)|Product containing only ezetimibe and simvastatin (product)|Product containing only rosuvastatin and acetylsalicylic acid (product)
2026-03-05T16:02:46.439325,mistralai/mistral-large-2512,set1,Alpha>1< anti-trypsin isotype MZ,Alpha>1< anti-trypsin isotype MZ (observable entity),observable entity,Primitive,Alpha>1< antitrypsin isotype (observable entity),Protein or peptide isotype (observable entity),Alpha>1< antitrypsin isotype MM (observable entity)|Alpha>1< antitrypsin isotype MS (observable entity)|Alpha>1< antitrypsin isotype SZ (observable entity)|Alpha>1< antitrypsin isotype SS (observable entity)|Alpha>1< antitrypsin isotype ZZ (observable entity),
