timestamp,model,prompt_set,concept_term,A1_fsn,A2_semantic_tag,A3_definition_status,A4_parents,A5_grandparents,A6_children,A7_siblings
2026-03-05T15:19:09.973574,claude-sonnet-4-5-20250929,set1,Blood in urine,Hematuria (finding),finding,Primitive,Abnormal urinalysis (finding)|Hemorrhage (disorder),Laboratory test finding (finding)|Bleeding (finding),Macroscopic hematuria (finding)|Microscopic hematuria (finding)|Hematuria due to infection (finding)|Recurrent hematuria (finding)|Persistent hematuria (finding)|Transient hematuria (finding)|Asymptomatic hematuria (finding)|Painful hematuria (finding),Proteinuria (finding)|Glycosuria (finding)|Pyuria (finding)|Abnormal urine pH (finding)|Ketonuria (finding)|Bilirubinuria (finding)
2026-03-05T15:19:12.712112,claude-sonnet-4-5-20250929,set1,Oliguria,Oliguria (finding),finding,Primitive,Decreased urine output (finding),Disorder of urine volume (finding),Oliguria due to reduced renal blood flow (finding)|Oliguria due to bilateral ureteric obstruction (finding),Anuria (finding)
2026-03-05T15:19:16.072879,claude-sonnet-4-5-20250929,set1,Polyuria,Polyuria (finding),finding,Primitive,Disorder of fluid volume (finding),Disorder of body fluid (finding),Nocturnal polyuria (finding),Dehydration (finding)|Fluid overload (finding)|Oliguria (finding)|Anuria (finding)
2026-03-05T15:19:21.307592,claude-sonnet-4-5-20250929,set1,Necrosis,Necrosis (morphologic abnormality),morphologic abnormality,Primitive,Pathological developmental process (morphologic abnormality),Morphologically abnormal structure (morphologic abnormality),Calcific necrosis (morphologic abnormality)|Caseous necrosis (morphologic abnormality)|Coagulative necrosis (morphologic abnormality)|Fat necrosis (morphologic abnormality)|Fibrinoid necrosis (morphologic abnormality)|Gangrenous necrosis (morphologic abnormality)|Liquefactive necrosis (morphologic abnormality)|Septic necrosis (morphologic abnormality)|Aseptic necrosis (morphologic abnormality)|Ischemic necrosis (morphologic abnormality)|Piecemeal necrosis (morphologic abnormality),Aplasia (morphologic abnormality)|Atrophy (morphologic abnormality)|Degeneration (morphologic abnormality)|Hypoplasia (morphologic abnormality)|Hyperplasia (morphologic abnormality)|Hypertrophy (morphologic abnormality)|Metaplasia (morphologic abnormality)|Dysplasia (morphologic abnormality)
2026-03-05T15:19:26.049449,claude-sonnet-4-5-20250929,set1,Ischemia,Ischemia (disorder),disorder,Primitive,Disorder of cardiovascular system (disorder),Disease (disorder),Cerebral ischemia (disorder)|Myocardial ischemia (disorder)|Intestinal ischemia (disorder)|Peripheral ischemia (disorder)|Hepatic ischemia (disorder)|Renal ischemia (disorder)|Retinal ischemia (disorder)|Spinal cord ischemia (disorder),"Heart disease (disorder)|Disorder of artery (disorder)|Vascular insufficiency (disorder)|Venous disorder (disorder)|Disorder of vein (disorder)|Hypertensive disorder, systemic arterial (disorder)|Disorder of capillary (disorder)"
2026-03-05T15:19:30.729399,claude-sonnet-4-5-20250929,set1,Sepsis,Sepsis (disorder),disorder,Primitive,Systemic inflammatory response syndrome due to infection,Systemic inflammatory response syndrome,Sepsis during labor|Puerperal sepsis|Neonatal sepsis|Severe sepsis|Sepsis of newborn due to anaerobes|Postprocedural sepsis,Systemic inflammatory response syndrome due to acute pancreatitis|Systemic inflammatory response syndrome due to trauma without acute organ failure|Systemic inflammatory response syndrome due to burns without acute organ failure|Systemic inflammatory response syndrome with acute organ failure
2026-03-05T15:19:35.265363,claude-sonnet-4-5-20250929,set1,Malignant,Malignant (qualifier value),(qualifier value),Primitive,Characteristic (qualifier value),SNOMED CT Concept (SNOMED RT+CTV3),"Malignant - primary (qualifier value)|Malignant - secondary (qualifier value)|Malignant, invasive (qualifier value)|Malignant, uncertain whether primary or metastatic (qualifier value)",Benign (qualifier value)|Severity (qualifier value)|Episodicity (qualifier value)|Clinical course (qualifier value)|Stage (qualifier value)|Laterality (qualifier value)|Acuteness (qualifier value)
2026-03-05T15:19:38.950187,claude-sonnet-4-5-20250929,set1,Benign,Benign (qualifier value),(qualifier value),Primitive,Tumor behavior (qualifier value),Qualifier value (qualifier value),Benign neoplasm (morphologic abnormality),Malignant (qualifier value)|Borderline malignancy (qualifier value)|Uncertain whether benign or malignant (qualifier value)|Of low malignant potential (qualifier value)
2026-03-05T15:19:44.653336,claude-sonnet-4-5-20250929,set1,Abscess,Abscess (disorder),disorder,Primitive,Disorder of body cavity (disorder)|Infectious process (disorder),Disease (disorder)|Infectious disease (disorder),Abscess of bursa (disorder)|Abscess of tendon sheath (disorder)|Chronic abscess (disorder)|Cold abscess (disorder)|Intracranial abscess (disorder)|Intra-abdominal abscess (disorder)|Abscess of mediastinum (disorder)|Retroperitoneal abscess (disorder)|Pelvic abscess (disorder)|Abscess of trunk (disorder)|Abscess of upper limb (disorder)|Abscess of lower limb (disorder)|Abscess of head (disorder)|Abscess of neck (disorder)|Abscess of trunk (disorder)|Periapical abscess (disorder)|Periodontal abscess (disorder)|Retropharyngeal abscess (disorder)|Soft tissue abscess (disorder)|Visceral abscess (disorder),Empyema (disorder)|Fistula (disorder)|Gangrene (disorder)
2026-03-05T15:19:49.303426,claude-sonnet-4-5-20250929,set1,Edema,Edema (finding),finding,Primitive,Abnormal fluid retention (finding),General symptom (finding),Localized edema (finding)|Generalized edema (finding)|Edema of trunk (finding)|Cardiac edema (finding)|Hydrops fetalis (disorder)|Periodic edema (finding)|Edema due to malnutrition (finding)|Edema neonatorum (disorder)|Renal edema (finding)|Edema of lower limb (finding)|Fetal edema affecting management of mother (disorder),Excessive salivation (finding)|Increased lacrimation (finding)|Fluid overload (finding)
2026-03-05T15:19:53.154535,claude-sonnet-4-5-20250929,set1,Intubation,Intubation (procedure),procedure,Primitive,Insertion of tube (procedure),Introduction of device (procedure),Intubation of respiratory tract (procedure)|Intubation of gastrointestinal tract (procedure)|Intubation of genitourinary tract (procedure),Insertion of airway device (procedure)|Insertion of catheter (procedure)|Insertion of drain (procedure)|Insertion of prosthesis (procedure)|Insertion of implant (procedure)
2026-03-05T15:19:57.956113,claude-sonnet-4-5-20250929,set1,Biopsy,Biopsy (procedure),procedure,Primitive,Sampling of tissue (procedure),Diagnostic procedure (procedure),Biopsy of head (procedure)|Biopsy of neck (procedure)|Biopsy of trunk (procedure)|Biopsy of limb (procedure)|Biopsy of cardiovascular system (procedure)|Biopsy of respiratory system (procedure)|Biopsy of digestive system (procedure)|Biopsy of urinary system (procedure)|Biopsy of genital system (procedure)|Biopsy of endocrine system (procedure)|Biopsy of hematopoietic system (procedure)|Biopsy of musculoskeletal system (procedure)|Biopsy of nervous system (procedure)|Core needle biopsy (procedure)|Excision biopsy (procedure)|Incision biopsy (procedure)|Needle biopsy (procedure)|Punch biopsy (procedure)|Shave biopsy (procedure),Aspiration (procedure)|Puncture and drainage (procedure)
2026-03-05T15:20:01.025275,claude-sonnet-4-5-20250929,set1,Venipuncture,Venipuncture (procedure),procedure,Primitive,Puncture of vein (procedure),Puncture (procedure),Venipuncture for blood sampling (procedure)|Venipuncture for therapy (procedure),Percutaneous catheterization of vein (procedure)|Venous cutdown (procedure)
2026-03-05T15:20:05.850816,claude-sonnet-4-5-20250929,set1,Laparotomy,Laparotomy (procedure),procedure,Primitive,Operation on abdominal region (procedure),Surgical procedure (procedure),Emergency laparotomy (procedure)|Laparotomy and biopsy of intra-abdominal mass (procedure)|Relaparotomy (procedure)|Laparotomy and drainage of retroperitoneal abscess (procedure)|Exploratory laparotomy (procedure)|Laparotomy and lysis of adhesions (procedure)|Repeat laparotomy (procedure)|Staging laparotomy (procedure),Incision of abdominal wall (procedure)|Laparoscopy (procedure)|Operation on peritoneum (procedure)|Drainage of abdomen (procedure)|Closure of abdominal wall (procedure)
2026-03-05T15:20:09.230677,claude-sonnet-4-5-20250929,set1,Opening of chest,Opening of chest (procedure),(procedure),Primitive,Operation on thorax (procedure),Surgical procedure (procedure),Thoracotomy (procedure)|Median sternotomy (procedure)|Ministernotomy (procedure),Closure of chest (procedure)|Excision of thorax (procedure)|Incision of thorax (procedure)|Repair of thorax (procedure)|Destruction of lesion of thorax (procedure)
2026-03-05T15:20:13.839476,claude-sonnet-4-5-20250929,set1,Cholecystectomy,Cholecystectomy (procedure),procedure,Primitive,Excision of gallbladder (procedure),Operation on gallbladder (procedure),Cholecystectomy and exploration of common bile duct (procedure)|Cholecystectomy with exploration of common bile duct and insertion of T-tube (procedure)|Emergency cholecystectomy (procedure)|Elective cholecystectomy (procedure)|Laparoscopic cholecystectomy (procedure)|Open cholecystectomy (procedure)|Partial cholecystectomy (procedure)|Radical cholecystectomy (procedure)|Total cholecystectomy (procedure),Percutaneous cholecystostomy (procedure)|Drainage of gallbladder (procedure)|Marsupialisation of gallbladder (procedure)
2026-03-05T15:20:17.423583,claude-sonnet-4-5-20250929,set1,Cardiopulmonary resuscitation,Cardiopulmonary resuscitation (procedure),procedure,Primitive,Resuscitation with artificial ventilation (procedure),Emergency treatment (procedure),Basic cardiac life support (procedure)|Advanced cardiac life support (procedure)|Neonatal resuscitation (procedure)|Cardiopulmonary resuscitation with cardiac massage (procedure),Mouth-to-mouth resuscitation (procedure)|Bag-valve-mask ventilation (procedure)
2026-03-05T15:20:25.683044,claude-sonnet-4-5-20250929,set1,Triage,Triage (procedure),procedure,Primitive,Evaluation procedure (procedure),Determination of clinical state (procedure),Telephone triage (procedure)|Emergency triage (procedure)|Triage for mass casualty incident (procedure),Assessment using assessment scale (procedure)|Clinical risk assessment (procedure)|Comprehensive assessment (procedure)|Disability assessment (procedure)|Educational assessment (procedure)|Eligibility determination (procedure)|Functional assessment (procedure)|Mental health assessment (procedure)|Needs assessment (procedure)|Nursing assessment (procedure)|Physical examination (procedure)|Psychiatric assessment (procedure)|Psychological assessment (procedure)|Risk assessment (procedure)|Screening procedure (procedure)|Social assessment (procedure)
2026-03-05T15:20:29.302037,claude-sonnet-4-5-20250929,set1,Proximal,Proximal (qualifier value),(qualifier value),Primitive,Relative spatial qualifier value (qualifier value),Spatial qualifier value (qualifier value),Proximodistal (qualifier value),Distal (qualifier value)|Medial (qualifier value)|Lateral (qualifier value)|Superior (qualifier value)|Inferior (qualifier value)|Anterior (qualifier value)|Posterior (qualifier value)|Central (qualifier value)|Peripheral (qualifier value)|Apical (qualifier value)|Basal (qualifier value)
2026-03-05T15:20:32.881443,claude-sonnet-4-5-20250929,set1,Distal,Distal (qualifier value),(qualifier value),Primitive,Relative spatial qualifier value (qualifier value),Spatial qualifier value (qualifier value),Distally (qualifier value),Proximal (qualifier value)|Medial (qualifier value)|Lateral (qualifier value)|Central (qualifier value)|Peripheral (qualifier value)|Apical (qualifier value)|Basal (qualifier value)
2026-03-05T15:20:36.673527,claude-sonnet-4-5-20250929,set1,Chronic,Chronic (qualifier value),(qualifier value),Primitive,Course (attribute),Attribute (attribute),Chronic progressive (qualifier value)|Chronic persistent (qualifier value)|Chronic active (qualifier value),Acute (qualifier value)|Subacute (qualifier value)|Acute on chronic (qualifier value)|Fulminant (qualifier value)|Peracute (qualifier value)|Subchronic (qualifier value)
2026-03-05T15:20:40.819258,claude-sonnet-4-5-20250929,set1,Determination of prognosis,Determination of prognosis (procedure),procedure,Primitive,Evaluation procedure (procedure),Procedure by method (procedure),Assessment of prognosis for recovery (procedure)|Determination of prognosis for pregnancy (procedure),Assessment procedure (procedure)|Clinical risk assessment (procedure)|Evaluation of unevaluated data (procedure)|Health risk assessment (procedure)|Monitoring procedure (regime/therapy)|Screening procedure (procedure)|Verification (procedure)
2026-03-05T15:20:45.981723,claude-sonnet-4-5-20250929,set1,Anaphylaxis,Anaphylaxis (disorder),disorder,Primitive,Allergic process (disorder)|Type I hypersensitivity reaction (disorder),Hypersensitivity reaction (disorder)|Immune function finding (finding),Anaphylaxis due to food (disorder)|Anaphylaxis due to peanut (disorder)|Anaphylaxis due to tree nut (disorder)|Anaphylaxis due to fish (disorder)|Anaphylaxis due to crustacean (disorder)|Anaphylaxis due to drug (disorder)|Anaphylaxis due to substance (disorder)|Anaphylaxis due to insect sting (disorder)|Exercise-induced anaphylaxis (disorder)|Idiopathic anaphylaxis (disorder),Allergic bronchopulmonary aspergillosis (disorder)|Allergic contact dermatitis (disorder)|Allergic rhinitis (disorder)|Asthma (disorder)|Atopic dermatitis (disorder)|Food allergy (disorder)|Drug allergy (disorder)|Allergic urticaria (disorder)
2026-03-05T15:20:49.455133,claude-sonnet-4-5-20250929,set1,Structure of ischiogluteal bursa of right hip,Structure of ischiogluteal bursa of right hip (body structure),body structure,Primitive,Structure of ischiogluteal bursa (body structure)|Structure of bursa of right hip region (body structure),Bursa structure (body structure)|Structure of bursa of hip region (body structure),,Structure of ischiogluteal bursa of left hip (body structure)|Structure of iliopsoas bursa of right hip (body structure)|Structure of trochanteric bursa of right hip (body structure)
2026-03-05T15:20:52.408878,claude-sonnet-4-5-20250929,set1,Does not cut own nails,Does not cut own nails (finding),finding,Primitive,Unable to perform nail care (finding),Unable to perform personal care activity (finding),Does not cut own fingernails (finding)|Does not cut own toenails (finding),Does not file own nails (finding)
2026-03-05T15:20:55.920209,claude-sonnet-4-5-20250929,set1,Laceration of right brachial artery,Laceration of right brachial artery (disorder),disorder,Primitive,Laceration of brachial artery (disorder)|Traumatic injury of right brachial artery (disorder),Laceration of artery (disorder)|Injury of brachial artery (disorder)|Traumatic injury of brachial artery (disorder)|Traumatic injury of artery of right upper limb (disorder),,Laceration of left brachial artery (disorder)
2026-03-05T15:20:59.908475,claude-sonnet-4-5-20250929,set1,Date sample received in laboratory,Date sample received in laboratory (observable entity),observable entity,Primitive,Laboratory finding (observable entity),Clinical finding (finding),None,Laboratory test finding (observable entity)|Specimen obtained (observable entity)|Laboratory test not done (observable entity)|Laboratory procedure categorization (observable entity)
2026-03-05T15:21:03.820852,claude-sonnet-4-5-20250929,set1,Autosomal recessive severe congenital neutropenia due to jagunal homolog 1 deficiency,Autosomal recessive severe congenital neutropenia due to jagn1 deficiency (disorder),(disorder),Primitive,Severe congenital neutropenia (disorder),Congenital neutropenia (disorder),None,Severe congenital neutropenia autosomal dominant (disorder)|Cyclic neutropenia (disorder)|Severe congenital neutropenia autosomal recessive type 3 (disorder)|Autosomal recessive severe congenital neutropenia due to glucose-6-phosphatase catalytic subunit 3 deficiency (disorder)
2026-03-05T15:21:08.418524,claude-sonnet-4-5-20250929,set1,Product containing only ezetimibe and rosuvastatin,Product containing only ezetimibe and rosuvastatin (medicinal product),(medicinal product),Fully defined,Product containing ezetimibe (medicinal product)|Product containing rosuvastatin (medicinal product),Product containing ezetimibe in oral dose form (medicinal product)|Product containing hydroxymethylglutaryl-coenzyme A reductase inhibitor (medicinal product)|Lipid regulating drug product (medicinal product),Product containing only ezetimibe and rosuvastatin in oral dose form (medicinal product),Product containing only ezetimibe and simvastatin (medicinal product)|Product containing only ezetimibe and atorvastatin (medicinal product)
2026-03-05T15:21:12.817406,claude-sonnet-4-5-20250929,set1,Alpha>1< anti-trypsin isotype MZ,Alpha-1 antitrypsin isotype MZ (substance),(substance),Primitive,Alpha-1 antitrypsin (substance),Serine protease inhibitor (substance),,Alpha-1 antitrypsin isotype MM (substance)|Alpha-1 antitrypsin isotype MS (substance)|Alpha-1 antitrypsin isotype MF (substance)|Alpha-1 antitrypsin isotype SS (substance)|Alpha-1 antitrypsin isotype SZ (substance)|Alpha-1 antitrypsin isotype ZZ (substance)|Alpha-1 antitrypsin isotype FF (substance)|Alpha-1 antitrypsin isotype FS (substance)|Alpha-1 antitrypsin isotype FZ (substance)
2026-03-05T15:21:16.094788,claude-sonnet-4-5-20250929,set1,2-dehydro-3-deoxy-L-pentonate aldolase,,,,,,,
2026-03-05T15:21:19.475320,claude-sonnet-4-5-20250929,set1,Thiourea,Thiourea (substance),(substance),Primitive,Organosulfur compound (substance),Organic compound (substance),Ethylene thiourea (substance)|Phenylthiourea (substance)|Propylthiouracil (substance),Dimethyl sulfoxide (substance)|Sulfonamide (substance)|Thiol compound (substance)
2026-03-05T15:21:23.262549,claude-sonnet-4-5-20250929,set1,Protriptyline,Protriptyline (substance),(substance),Primitive,Tricyclic antidepressant (substance),Antidepressant (substance),Protriptyline hydrochloride (substance),Amitriptyline (substance)|Imipramine (substance)|Clomipramine (substance)|Desipramine (substance)|Doxepin (substance)|Nortriptyline (substance)|Trimipramine (substance)|Amoxapine (substance)|Dothiepin (substance)|Lofepramine (substance)
2026-03-05T15:21:27.620906,claude-sonnet-4-5-20250929,set1,Use of sling suspension,Use of sling suspension (regime/therapy),(regime/therapy),Primitive,Positioning regime (regime/therapy),Regime/therapy (regime/therapy),None,Use of bed rest (regime/therapy)|Use of prone lying (regime/therapy)|Use of supine lying (regime/therapy)|Head-down tilt positioning (regime/therapy)|Head-up tilt positioning (regime/therapy)|Recovery position (regime/therapy)|Use of lateral decubitus lying (regime/therapy)|Positioning in neutral (regime/therapy)|Use of sitting position (regime/therapy)|Use of standing position (regime/therapy)
2026-03-05T15:21:31.557989,claude-sonnet-4-5-20250929,set1,Insulin receptor defect,Insulin receptor defect (disorder),(disorder),Primitive,Disorder of glucose metabolism (disorder),Metabolic disease (disorder),Rabson-Mendenhall syndrome (disorder)|Leprechaunism (disorder)|Type A insulin resistance syndrome (disorder),Diabetes mellitus (disorder)|Hypoglycemia (disorder)|Disorder of fructose metabolism (disorder)|Disorder of galactose metabolism (disorder)|Glycogen storage disease (disorder)|Disorder of pentose metabolism (disorder)|Disorder of pyruvate metabolism (disorder)
2026-03-05T15:21:36.451301,claude-sonnet-4-5-20250929,set1,Akinesis of basal anterior segment of left cardiac ventricle,Akinesis of basal anterior segment of left cardiac ventricle (disorder),(disorder),Primitive,Akinesis of anterior segment of left cardiac ventricle (disorder)|Akinesis of basal segment of left cardiac ventricle (disorder),Akinesis of left cardiac ventricle (disorder)|Akinesis of segment of left cardiac ventricle (disorder),,Akinesis of basal anteroseptal segment of left cardiac ventricle (disorder)|Akinesis of basal anterolateral segment of left cardiac ventricle (disorder)|Akinesis of mid anterior segment of left cardiac ventricle (disorder)|Akinesis of apical anterior segment of left cardiac ventricle (disorder)|Akinesis of basal inferoseptal segment of left cardiac ventricle (disorder)|Akinesis of basal inferior segment of left cardiac ventricle (disorder)|Akinesis of basal inferolateral segment of left cardiac ventricle (disorder)|Akinesis of basal anterolateral segment of left cardiac ventricle (disorder)
2026-03-05T15:21:39.429490,claude-sonnet-4-5-20250929,set1,Bioterrorist attack,Bioterrorism (event),(event),Primitive,Terrorism (event),Intentional event (event),None,Cyberterrorism (event)|Nuclear terrorism (event)
2026-03-05T15:21:42.513335,claude-sonnet-4-5-20250929,set1,Rickettsia australis,Rickettsia australis (organism),organism,Primitive,Genus Rickettsia (organism),Family Rickettsiaceae (organism),None,Rickettsia rickettsii (organism)|Rickettsia prowazekii (organism)|Rickettsia typhi (organism)|Rickettsia conorii (organism)|Rickettsia akari (organism)|Rickettsia sibirica (organism)|Rickettsia tsutsugamushi (organism)
2026-03-05T15:21:46.608105,claude-sonnet-4-5-20250929,set1,Computed tomography 3 dimensional reconstruction,Computed tomography 3 dimensional reconstruction (procedure),procedure,Primitive,Computed tomography imaging procedure (procedure),Diagnostic imaging procedure (procedure),Three dimensional computed tomography of heart (procedure)|Computed tomography 3 dimensional reconstruction of bone (procedure),Computed tomography of head (procedure)|Computed tomography of thorax (procedure)|Computed tomography of abdomen (procedure)|Computed tomography of pelvis (procedure)|Computed tomography of spine (procedure)|Computed tomography angiography (procedure)|Spiral computed tomography (procedure)|Computed tomography fluoroscopy (procedure)
2026-03-05T15:21:49.376263,claude-sonnet-4-5-20250929,set1,Open reduction of fracture of tarsal bone without internal fixation,Open reduction of fracture of tarsal bone without internal fixation (procedure),procedure,Primitive,Open reduction of fracture of tarsal bone (procedure),Open reduction of fracture of bone of foot (procedure),Open reduction of fracture of calcaneus without internal fixation (procedure)|Open reduction of fracture of talus without internal fixation (procedure),Open reduction of fracture of tarsal bone with internal fixation (procedure)
2026-03-05T15:21:54.762242,claude-sonnet-4-5-20250929,set1,Identification of antibody to red blood cell antigens from Colton system (International Society of Blood Transfusion 015),Identification of antibody to red blood cell antigens from Colton system (International Society of Blood Transfusion 015) (procedure),procedure,Primitive,Identification of antibody to red blood cell antigens (procedure),Blood group antibody test (procedure),Identification of antibody to Colton blood group antigen Co(a) (procedure)|Identification of antibody to Colton blood group antigen Co(b) (procedure)|Identification of antibody to Colton blood group antigen Co3 (procedure),Identification of antibody to red blood cell antigens from Diego system (International Society of Blood Transfusion 010) (procedure)|Identification of antibody to red blood cell antigens from Cartwright system (International Society of Blood Transfusion 011) (procedure)|Identification of antibody to red blood cell antigens from Dombrock system (International Society of Blood Transfusion 014) (procedure)|Identification of antibody to red blood cell antigens from Landsteiner-Wiener system (International Society of Blood Transfusion 016) (procedure)|Identification of antibody to red blood cell antigens from Chido-Rodgers system (International Society of Blood Transfusion 017) (procedure)
2026-03-05T15:21:57.809848,claude-sonnet-4-5-20250929,set1,Spirometra houghtonii,Spirometra houghtonii (organism),(organism),Primitive,Spirometra (organism),Genus Diphyllobothrium and/or Spirometra (organism),,Spirometra mansonoides (organism)|Spirometra erinaceieuropaei (organism)
2026-03-05T15:22:01.456854,claude-sonnet-4-5-20250929,set1,Difficulty preparing feed,Difficulty preparing feed (finding),finding,Primitive,Difficulty related to feeding (finding),Finding of ability to perform personal care activity (finding),,Difficulty holding baby to feed (finding)|Difficulty using feeding equipment (finding)|Difficulty mixing feed (finding)|Difficulty sterilizing feeding equipment (finding)
2026-03-05T15:22:03.868386,claude-sonnet-4-5-20250929,set1,Public school,,,,,,,
