timestamp,model,prompt_set,concept_term,B1_official_name,B2_kind,B3_category_type,B4_immediate_broader,B5_grandparents,B6_immediate_narrower,B7_peer_terms
2026-03-05T01:42:30.239498,gpt-4o,set2,Determination of prognosis,Determination of prognosis (procedure),Diagnostic Procedure,Fully defined,Evaluation procedure,Procedure,Not applicable,Assessment of health risk|Evaluation of treatment outcome
2026-03-05T01:42:32.304519,gpt-4o,set2,Anaphylaxis,Most precise official-style name,What kind of thing it is (semantic type),Category type (Primitive / Fully defined),Hypersensitivity reaction,Immune system disorder,None,Anaphylactic shock|Angioedema|Urticaria
2026-03-05T01:42:35.642210,gpt-4o,set2,Structure of ischiogluteal bursa of right hip,Structure of ischiogluteal bursa of right hip,Anatomical structure,Fully defined,,,,
2026-03-05T01:42:37.973114,gpt-4o,set2,Does not cut own nails,Does not cut own nails,Clinical finding,Fully defined,Self-care deficit,Activity of daily living,Unable to cut own nails,Does not brush own hair|Does not dress self|Does not feed self
2026-03-05T01:42:39.807898,gpt-4o,set2,Laceration of right brachial artery,Laceration of right brachial artery,Injury or Poisoning,Fully defined,Laceration of brachial artery|Laceration of right upper limb artery,Laceration of upper limb artery|Laceration of artery,,Laceration of left brachial artery|Laceration of right radial artery|Laceration of right ulnar artery
2026-03-05T01:42:41.420635,gpt-4o,set2,Date sample received in laboratory,Date sample received in laboratory,Temporal Concept,Primitive,,,,Date sample analyzed|Date sample processed
2026-03-05T01:42:42.834360,gpt-4o,set2,Autosomal recessive severe congenital neutropenia due to jagunal homolog 1 deficiency,Autosomal recessive severe congenital neutropenia due to jagunal homolog 1 deficiency,Disease or Syndrome,Fully defined,,,,
2026-03-05T01:42:44.695815,gpt-4o,set2,Product containing only ezetimibe and rosuvastatin,Product containing only ezetimibe and rosuvastatin,Pharmacologic Substance,Fully defined,Product containing rosuvastatin,,,Product containing only simvastatin and ezetimibe
2026-03-05T01:42:46.811692,gpt-4o,set2,Alpha>1< anti-trypsin isotype MZ,Alpha-1-antitrypsin isotype MZ,Protein variant,Primitive,,,,Alpha-1-antitrypsin isotype MM|Alpha-1-antitrypsin isotype ZZ|Alpha-1-antitrypsin isotype MS|Alpha-1-antitrypsin isotype SZ
2026-03-05T01:42:48.470280,gpt-4o,set2,2-dehydro-3-deoxy-L-pentonate aldolase,2-dehydro-3-deoxy-L-pentonate aldolase,Enzyme,Primitive,Aldolase,Lyase,No more specific terms available,2-dehydro-3-deoxy-L-arabinonate aldolase|2-dehydro-3-deoxy-L-galactonate aldolase
2026-03-05T01:42:49.961680,gpt-4o,set2,Thiourea,Thiourea,Chemical compound,Fully defined,,,,Urea|Guanidine|Thioacetamide|Thiocyanate
2026-03-05T01:42:52.334480,gpt-4o,set2,Protriptyline,Protriptyline Hydrochloride,Pharmacologic Substance,Fully defined,Tricyclic Antidepressant|Antidepressant,Organic Chemical|Chemical,No immediate narrower concepts,Amitriptyline|Nortriptyline|Imipramine|Desipramine|Clomipramine
2026-03-05T01:42:54.404778,gpt-4o,set2,Use of sling suspension,Use of sling suspension,Procedure,Primitive,,,,Use of splint suspension
2026-03-05T01:42:56.666777,gpt-4o,set2,Insulin receptor defect,Insulin Receptor Dysfunction,Disease or Syndrome,Primitive,,,,Insulin Receptor Mutation|Insulin Receptor Antibody Production
2026-03-05T01:42:59.737851,gpt-4o,set2,Akinesis of basal anterior segment of left cardiac ventricle,Akinesis of basal anterior segment of left cardiac ventricle,Finding,Primitive,Akinesis of left cardiac ventricle|Disorder of basal anterior segment of left ventricle,Akinesis of heart|Disorder of left ventricle,None,Hypokinesis of basal anterior segment of left cardiac ventricle|Dyskinesis of basal anterior segment of left cardiac ventricle
2026-03-05T01:43:03.273713,gpt-4o,set2,Bioterrorist attack,Bioterrorism Incident,Event,Fully defined,Terrorist Attack|Biological Event,Attack|Event,Anthrax Attack|Smallpox Release,Chemical Terrorist Attack|Radiological Terrorist Attack|Cyberterrorist Attack
2026-03-05T01:43:04.866184,gpt-4o,set2,Rickettsia australis,Rickettsia australis,Bacterium,Fully defined,,,,Rickettsia rickettsii|Rickettsia prowazekii|Rickettsia typhi
2026-03-05T01:43:06.413580,gpt-4o,set2,Computed tomography 3 dimensional reconstruction,Computed Tomography 3D Reconstruction,Diagnostic Procedure,Fully defined,,,,Ultrasound 3D Reconstruction
2026-03-05T01:43:09.080292,gpt-4o,set2,Open reduction of fracture of tarsal bone without internal fixation,Open reduction of fracture of tarsal bone without internal fixation,Therapeutic or Preventive Procedure,Fully defined,,,Open reduction of fracture of calcaneus without internal fixation,Open reduction of fracture of tarsal bone with internal fixation
2026-03-05T01:43:12.131256,gpt-4o,set2,Identification of antibody to red blood cell antigens from Colton system (International Society of Blood Transfusion 015),Identification of antibody to red blood cell antigens from Colton system (International Society of Blood Transfusion 015),Laboratory Procedure,Primitive,,,,Identification of antibody to red blood cell antigens from Scianna system (International Society of Blood Transfusion 013)|Identification of antibody to red blood cell antigens from Dombrock system (International Society of Blood Transfusion 014)
2026-03-05T01:43:14.602946,gpt-4o,set2,Spirometra houghtonii,Spirometra houghtonii,Organism,Primitive,Spirometra,Cestoda,None,Spirometra erinaceieuropaei|Spirometra mansoni|Spirometra decipiens
2026-03-05T01:43:15.562866,gpt-4o,set2,Difficulty preparing feed,Difficulty preparing feed,Finding,Primitive,,,,
2026-03-05T01:43:17.465579,gpt-4o,set2,Public school,Public school,Educational institution,Fully defined,,,,
2026-03-05T01:43:19.243304,gpt-4o,set2,Assistive electrical shaver adaptor,Assistive electrical shaver adaptor,Device,Primitive,,,,Assistive hair dryer adaptor|Assistive grooming tool adaptor
2026-03-05T01:43:21.155207,gpt-4o,set2,Bathing of skin of free upper limb,Bathing of skin of free upper limb,Procedure,Primitive,,,Bathing of skin of left upper limb,Bathing of skin of trunk|Bathing of skin of head and neck
2026-03-05T01:43:22.445624,gpt-4o,set2,Primary hyperparathyroidism,Primary hyperparathyroidism,Disease or Syndrome,Fully defined,,,,
2026-03-05T01:43:24.169857,gpt-4o,set2,Ultrasonography of soft tissue of wrist region,Ultrasonography of soft tissue of wrist region,Diagnostic Procedure,Fully defined,,,,Ultrasonography of soft tissue of forearm region
2026-03-05T01:43:25.229864,gpt-4o,set2,Standing tolerance,Standing tolerance,Functional Activity,Primitive,,,,Walking tolerance|Lifting tolerance
2026-03-05T01:43:26.579382,gpt-4o,set2,Product containing precisely alverine citrate 120 milligram/1 each conventional release oral capsule,Alverine Citrate 120 mg Oral Capsule,Pharmacologic Substance,Fully defined,,,,
2026-03-05T01:43:27.256297,gpt-4o,set2,Structure of temporomandibular articulation vein,,,,,,,
2026-03-05T01:43:29.954091,gpt-4o,set2,Closed comminuted fracture of proximal phalanx of finger,Closed comminuted fracture of proximal phalanx of finger,Injury or Poisoning,Fully defined,Closed fracture of proximal phalanx of finger|Comminuted fracture of proximal phalanx of finger,Fracture of phalanx of finger|Fracture of finger,Closed comminuted fracture of proximal phalanx of thumb|Closed comminuted fracture of proximal phalanx of index finger|Closed comminuted fracture of proximal phalanx of middle finger|Closed comminuted fracture of proximal phalanx of ring finger|Closed comminuted fracture of proximal phalanx of little finger,Open comminuted fracture of proximal phalanx of finger|Closed simple fracture of proximal phalanx of finger|Open simple fracture of proximal phalanx of finger
2026-03-05T01:43:31.855795,gpt-4o,set2,Choroidal retinal neovascularization,Choroidal neovascularization,Disease or Syndrome,Fully defined,,,,Corneal neovascularization|Iris neovascularization
2026-03-05T01:43:33.749048,gpt-4o,set2,Microunit/milliliter,,,,,,,
2026-03-05T01:43:35.348186,gpt-4o,set2,Unable to use a non-speech system for communication,Unable to use a non-speech system for communication,Finding,Primitive,,,,Unable to use a communication device for communication
2026-03-05T01:43:37.261054,gpt-4o,set2,Chronic infective pericarditis,Chronic infective pericarditis,Disease or Syndrome,Fully defined,,,,
2026-03-05T01:43:40.359705,gpt-4o,set2,Accidental poisoning caused by salicylates,Accidental poisoning by salicylates,Finding,Primitive,Accidental poisoning,Poisoning,Accidental poisoning by aspirin,Accidental poisoning by nonsteroidal anti-inflammatory drugs|Accidental poisoning by antipyretics|Accidental poisoning by analgesics
2026-03-05T01:43:41.580644,gpt-4o,set2,Product containing only nicotinic acid,Product containing only nicotinic acid,Pharmacologic Substance,Primitive,,,,
2026-03-05T01:43:42.663909,gpt-4o,set2,Dimethyl-ether propane,Dimethyl ether propane,Chemical compound,Primitive,,,,
2026-03-05T01:43:43.534087,gpt-4o,set2,Nipple sharing technique,,,,,,,
2026-03-05T01:43:47.089755,gpt-4o,set2,Accidental clorazepate poisoning,Accidental poisoning by clorazepate,Injury or Poisoning,Primitive,"Accidental poisoning by drugs, medicaments and biological substances","Accidental poisoning|Poisoning by drugs, medicaments and biological substances",None,Accidental poisoning by diazepam|Accidental poisoning by lorazepam|Accidental poisoning by oxazepam
2026-03-05T01:43:50.487287,gpt-4o,set2,Fetal disorder due to persistent occipito-posterior malposition during labor,Fetal disorder due to persistent occipito-posterior malposition during labor,Disease or Syndrome,Fully defined,,,,Fetal disorder due to persistent occipito-transverse malposition during labor
2026-03-05T01:43:52.991357,gpt-4o,set2,Carnitine acylcarnitine translocase deficiency,Carnitine-acylcarnitine translocase deficiency,Disease or Syndrome,Fully defined,Metabolic disorder|Inborn error of metabolism,Genetic disorder|Congenital disorder,None,Medium-chain acyl-CoA dehydrogenase deficiency|Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency|Very long-chain acyl-CoA dehydrogenase deficiency
2026-03-05T01:43:54.737707,gpt-4o,set2,Revision of gastrojejunal anastomosis with reconstruction with partial gastrectomy,Revision of gastrojejunal anastomosis with reconstruction with partial gastrectomy,Therapeutic or Preventive Procedure,Fully defined,Partial gastrectomy,Gastrointestinal surgery,,Revision of gastrojejunal anastomosis with reconstruction with total gastrectomy|Revision of gastrojejunal anastomosis with reconstruction with sleeve gastrectomy
2026-03-05T01:43:55.822766,gpt-4o,set2,Abnormal radial pulse,Abnormal radial pulse,Finding,Primitive,,,,
2026-03-05T01:43:56.820813,gpt-4o,set2,Accident due to heat in drying room,,,,,,,
2026-03-05T01:43:58.665121,gpt-4o,set2,Disease caused by Trichinelloidea,Trichinellosis,Disease or Syndrome,Fully defined,,,,
2026-03-05T01:44:03.880994,gpt-4o,set2,Cervical anterior longitudinal ligament sprain,Sprain of anterior longitudinal ligament of cervical spine,Injury or Poisoning,Fully defined,Sprain of cervical spine|Sprain of anterior longitudinal ligament,Sprain of spine|Injury of ligament,Not applicable,Sprain of posterior longitudinal ligament of cervical spine|Sprain of intertransverse ligament of cervical spine|Sprain of nuchal ligament of cervical spine
2026-03-05T01:44:05.576633,gpt-4o,set2,Entire costal groove of eighth rib,Entire costal groove of eighth rib,Anatomical structure,Primitive,,,,
2026-03-05T01:44:06.984933,gpt-4o,set2,Myxopapillary ependymoma of brain,Myxopapillary ependymoma of the brain,Neoplastic Process,Fully defined,Ependymoma of the brain,Brain neoplasm,None,Subependymoma of the brain|Anaplastic ependymoma of the brain|Classic ependymoma of the brain
2026-03-05T01:44:08.774853,gpt-4o,set2,Repositioning of cardioverter/defibrillator leads,Repositioning of cardioverter/defibrillator lead,Therapeutic or Preventive Procedure,Fully defined,Adjustment of cardiac device,Procedure on cardiovascular system,None,Adjustment of pacemaker lead|Replacement of cardioverter/defibrillator lead
2026-03-05T01:44:11.619916,gpt-4o,set2,Buttiauxella brennerae,Buttiauxella brennerae,Bacterium,Fully defined,Buttiauxella,Enterobacteriaceae,None,Buttiauxella agrestis|Buttiauxella ferragutiae|Buttiauxella izardii|Buttiauxella noackiae|Buttiauxella warmboldiae
2026-03-05T01:44:12.739229,gpt-4o,set2,Position of testicle,Position of testicle,Finding,Primitive,,,,Position of kidney|Position of heart
2026-03-05T01:44:14.608639,gpt-4o,set2,Accidental lomustine poisoning,Accidental lomustine poisoning,Injury or Poisoning,Primitive,Lomustine-related disorder,Antineoplastic agent-related disorder,,Accidental doxorubicin poisoning|Accidental vincristine poisoning
2026-03-05T01:44:17.033737,gpt-4o,set2,Hemangioma of retina of bilateral eyes,Hemangioma of bilateral retinae,Disease or Syndrome,Primitive,Hemangioma of retina|Disorder of retina,Hemangioma|Disorder of eye,,Retinal telangiectasia of bilateral eyes|Retinal detachment of bilateral eyes|Retinitis pigmentosa of bilateral eyes
2026-03-05T01:44:18.669835,gpt-4o,set2,Mandelate racemase,Mandelate racemase,Enzyme,Fully defined,Racemase,Isomerase,None,Alanine racemase|Aspartate racemase|Glutamate racemase
2026-03-05T01:44:20.140905,gpt-4o,set2,Structure of rhomboideus thoracis muscle,Rhomboideus thoracis muscle,"Body Part, Organ, or Organ Component",Primitive,,,,
2026-03-05T01:44:22.461489,gpt-4o,set2,Unable to move from lying to sitting,Unable to move from lying to sitting position,Finding,Primitive,Inability to perform a task,Functional finding,No more specific terms available,Unable to move from sitting to standing|Unable to move from standing to sitting|Unable to move from lying to standing
2026-03-05T01:44:24.515356,gpt-4o,set2,Contact lens inserter/remover,Contact Lens Handling Device,Medical Device,Fully defined,Ophthalmic Device,Medical Equipment,Soft Contact Lens Inserter/Remover|Hard Contact Lens Inserter/Remover,Contact Lens Case|Contact Lens Solution
2026-03-05T01:44:25.542605,gpt-4o,set2,Cytosine deaminase,Cytosine deaminase,Enzyme,Primitive,,,,
2026-03-05T01:44:27.489900,gpt-4o,set2,Atrolysin F,Atrolysin F,Enzyme,Primitive,Metalloproteinase,Hydrolase,None,Atrolysin A|Atrolysin B|Atrolysin C|Atrolysin D|Atrolysin E
2026-03-05T01:44:28.443737,gpt-4o,set2,Entire pupillary margin of iris,,,,,,,
2026-03-05T01:44:31.137211,gpt-4o,set2,Compression hosiery class II below knee stocking flatbed knit made to measure,,,,,,,
2026-03-05T01:44:33.225436,gpt-4o,set2,Entire small subcutaneous vein,Entire small subcutaneous vein,"Body Part, Organ, or Organ Component",Primitive,,,,Entire small accessory saphenous vein
2026-03-05T01:44:35.599171,gpt-4o,set2,Operation on pharynx,Operation on pharynx,Therapeutic or Preventive Procedure,Primitive,,,Pharyngoplasty|Pharyngotomy,Operation on nasal cavity|Operation on trachea
2026-03-05T01:44:38.610225,gpt-4o,set2,Fluoroscopic angiography of dialysis fistula using contrast with insertion of stent graft,Fluoroscopic angiography of dialysis fistula using contrast with insertion of stent graft,Diagnostic Procedure,Fully defined,Insertion of stent graft,Endovascular procedure,,Fluoroscopic angiography of dialysis fistula using contrast with thrombectomy|Fluoroscopic angiography of dialysis fistula using contrast with embolization
2026-03-05T01:44:40.687703,gpt-4o,set2,Product containing only methotrexate,Methotrexate-containing product,Pharmacologic Substance,Primitive,,,Methotrexate 10 mg/mL injection,Product containing only ibuprofen|Product containing only acetaminophen
2026-03-05T01:44:41.982135,gpt-4o,set2,Wart clinic,Wart treatment clinic,Healthcare facility,Fully defined,,,,Acne treatment clinic|Psoriasis treatment clinic|Eczema treatment clinic
2026-03-05T01:44:42.972856,gpt-4o,set2,Hemoglobin Dagestan,,,,,,,
2026-03-05T01:44:44.625875,gpt-4o,set2,Substance,Substance,Entity,Primitive,Physical object|Matter,Object|Entity,Chemical substance|Biological substance,Material|Compound
2026-03-05T01:44:47.017750,gpt-4o,set2,Family Chlorobiaceae,Family Chlorobiaceae,Bacterium,Primitive,Order Chlorobiales,Class Chlorobia,Genus Chlorobium|Genus Prosthecochloris|Genus Pelodictyon|Genus Chlorobaculum,Family Chloroflexaceae|Family Chloracidobacteriaceae|Family Chlorobiaceae
2026-03-05T01:44:49.551833,gpt-4o,set2,Structure of pedicle of axis,Most precise official-style name,What kind of thing it is (semantic type),Category type (Primitive / Fully defined),Pedicle of cervical vertebra,Cervical vertebra,Not applicable,Lamina of axis|Transverse process of axis|Spinous process of axis
2026-03-05T01:44:51.115059,gpt-4o,set2,Bone structure of L4,Lumbar vertebra 4,Anatomical structure,Primitive,,,,Lumbar vertebra 1|Lumbar vertebra 2|Lumbar vertebra 3|Lumbar vertebra 5
2026-03-05T01:44:52.273722,gpt-4o,set2,Lasègue's arm sign,,,,,,,
2026-03-05T01:44:53.818606,gpt-4o,set2,Neuroendocrine tumor of middle ear,Neuroendocrine tumor of middle ear,Neoplastic Process,Primitive,Neuroendocrine tumor|Middle ear neoplasm,Neoplasm|Ear neoplasm,None,Carcinoid tumor of middle ear|Adenoma of middle ear
2026-03-05T01:44:54.768071,gpt-4o,set2,Extension Namespace {1000194},,,,,,,
2026-03-05T01:44:57.082578,gpt-4o,set2,Fracture of third rib,"Fracture of rib, third",Injury or Poisoning,Primitive,Fracture of rib,Fracture of thorax|Fracture of bone|Injury of thorax,Closed fracture of third rib|Open fracture of third rib,Fracture of first rib|Fracture of second rib|Fracture of fourth rib|Fracture of fifth rib
2026-03-05T01:45:02.286871,gpt-4o,set2,Overriding tricuspid valve,Overriding tricuspid valve,Congenital Abnormality,Fully defined,Congenital malformation of the heart,Congenital anomaly,No more specific terms available,Overriding aorta|Overriding pulmonary artery
2026-03-05T01:45:04.533100,gpt-4o,set2,Cerebellar laceration with open intracranial wound,Cerebellar laceration with open intracranial wound,Injury or Poisoning,Fully defined,Intracranial laceration and contusion with open intracranial wound|Open wound of head with intracranial injury,Intracranial injury|Open wound of head,(No more specific terms available),Cerebral laceration with open intracranial wound|Brainstem laceration with open intracranial wound
2026-03-05T01:45:06.325746,gpt-4o,set2,Sacral spinal cord injury without bone injury,Sacral spinal cord injury without bone injury,Injury or Poisoning,Fully defined,Spinal cord injury without bone injury|Sacral spinal cord injury,Spinal cord injury|Injury of spine,Sacral spinal cord contusion without bone injury|Sacral spinal cord laceration without bone injury,Lumbar spinal cord injury without bone injury|Thoracic spinal cord injury without bone injury|Cervical spinal cord injury without bone injury
2026-03-05T01:45:07.934592,gpt-4o,set2,Dehydrated hereditary stomatocytosis,Dehydrated hereditary stomatocytosis,Disease or Syndrome,Primitive,,,,Hereditary xerocytosis
2026-03-05T01:45:09.895689,gpt-4o,set2,Product containing precisely tinzaparin sodium 20000 unit/1 milliliter conventional release solution for injection,,,,,,,
2026-03-05T01:45:11.790373,gpt-4o,set2,History of mood disorder,History of mood disorder,Finding,Primitive,,,History of bipolar disorder,History of personality disorder|History of psychotic disorder
2026-03-05T01:45:14.017631,gpt-4o,set2,Dislocation of prosthetic joint of elbow,Dislocation of prosthetic joint of elbow,Finding,Primitive,,,,
2026-03-05T01:45:16.541995,gpt-4o,set2,Product containing only brompheniramine and guaifenesin and hydrocodone in oral dose form,Brompheniramine-guaifenesin-hydrocodone oral product,Pharmacologic Substance,Fully defined,,,,Chlorpheniramine-guaifenesin-hydrocodone oral product|Dextromethorphan-guaifenesin-hydrocodone oral product
2026-03-05T01:45:19.666055,gpt-4o,set2,Unable to wash laundry,,,,,,,
2026-03-05T01:45:22.120237,gpt-4o,set2,Entire corticothalamic fibers of posterior limb of internal capsule,Entire corticothalamic fibers of posterior limb of internal capsule,Anatomical Structure,Primitive,Fibers of posterior limb of internal capsule,Internal capsule,,Entire corticopontine fibers of posterior limb of internal capsule|Entire corticobulbar fibers of posterior limb of internal capsule
2026-03-05T01:45:24.605384,gpt-4o,set2,Product containing precisely lidocaine hydrochloride 1 milligram/1 milliliter conventional release solution for injection,Lidocaine hydrochloride 1mg/ml solution for injection,Pharmacologic Substance,Fully defined,Lidocaine hydrochloride solution for injection,Lidocaine solution for injection,Lidocaine hydrochloride 1mg/ml solution for injection in a pre-filled syringe,Lidocaine hydrochloride 2mg/ml solution for injection|Lidocaine hydrochloride 5mg/ml solution for injection
2026-03-05T01:45:25.991151,gpt-4o,set2,Congenital absence of uvula,Congenital absence of uvula,Finding,Primitive,,,,Bifid uvula|Congenital cleft uvula
2026-03-05T01:45:27.964786,gpt-4o,set2,Streptococcus pyogenes type emm35,Streptococcus pyogenes M type 35,Bacterium,Fully defined,,,,Streptococcus pyogenes M type 1|Streptococcus pyogenes M type 2|Streptococcus pyogenes M type 3|Streptococcus pyogenes M type 4|Streptococcus pyogenes M type 5
2026-03-05T01:45:30.019987,gpt-4o,set2,Fracture of mandible involving dental socket,Fracture of mandible involving dental socket,Injury or Poisoning,Fully defined,Fracture of mandible|Injury of head,Injury of face|Injury of musculoskeletal system,Fracture of mandible involving dental socket with displacement|Fracture of mandible involving dental socket without displacement,Fracture of mandible involving condyle|Fracture of mandible involving coronoid process|Fracture of mandible involving angle|Fracture of mandible involving ramus
2026-03-05T01:45:31.954995,gpt-4o,set2,Foreign body in skin of finger with infection,Foreign body in skin of finger with infection,Clinical finding,Fully defined,Disorder of finger,Disorder of upper limb,Foreign body in skin of right finger with infection,Foreign body in skin of hand with infection|Foreign body in skin of foot with infection
2026-03-05T01:45:34.605533,gpt-4o,set2,Product containing precisely naloxone hydrochloride 400 microgram/1 milliliter conventional release solution for injection,Naloxone hydrochloride 400 microgram/1 milliliter solution for injection,Pharmacologic Substance,Fully defined,Naloxone hydrochloride solution for injection|Naloxone solution for injection,Naloxone hydrochloride|Naloxone,Naloxone hydrochloride 400 microgram/1 milliliter pre-filled syringe,Naloxone hydrochloride 200 microgram/1 milliliter solution for injection|Naloxone hydrochloride 800 microgram/1 milliliter solution for injection
